name,air_temp,skin_temp,calories,gsr,heart_rate,steps
711,86.3,89.8,1.0,0.682,46,0
712,86.8,89.8,0.7,0.688,46,0
713,86.9,89.8,1.2,0.75,46,0
714,87.2,89.8,1.2,0.63,44,0
715,87.0,89.8,1.0,0.556,44,0
716,86.9,90.0,1.1,0.557,43,0
717,86.6,89.9,1.0,0.535,45,0
718,86.5,89.8,1.0,0.541,45,0
719,86.5,89.8,1.1,0.506,46,0
720,86.5,89.8,1.1,0.497,47,0
721,86.1,89.6,1.0,0.503,46,0
722,86.0,89.6,1.1,0.497,46,0
723,86.0,89.4,0.9,0.488,46,0
724,86.0,89.4,1.3,0.469,52,0
725,85.7,89.2,1.4,0.363,71,0
726,85.2,88.9,1.1,0.326,54,0
727,85.1,88.8,1.1,0.319,48,0
728,84.8,88.7,1.1,0.31,47,0
729,84.7,88.6,1.1,0.31,46,0
730,84.7,88.5,1.0,0.313,48,0
731,84.3,88.4,1.1,0.316,47,0
732,84.2,88.2,1.1,0.316,46,0
733,84.2,88.2,1.1,0.308,43,0
734,84.2,88.1,1.4,0.275,46,0
735,84.2,87.9,1.1,0.0653,45,0
736,83.9,87.8,1.0,0.0876,45,0
737,83.8,87.8,1.1,0.0919,44,0
738,83.8,87.6,1.1,0.0928,43,0
739,83.4,87.5,1.1,0.0897,42,0
740,83.3,87.4,1.0,0.0889,44,0
741,83.3,87.3,1.3,0.109,44,0
742,83.3,87.1,1.1,0.223,65,0
743,83.0,87.1,1.2,0.272,57,0
744,82.8,87.0,1.0,0.306,46,0
745,82.5,86.9,1.1,0.325,44,0
746,82.4,86.9,1.0,0.352,47,0
747,82.4,86.7,1.0,0.335,46,0
748,82.4,86.7,1.1,0.358,47,0
749,82.4,86.6,1.0,0.35,47,0
750,82.4,86.5,1.1,0.351,47,0
751,82.4,86.4,1.0,0.338,48,0
752,82.4,86.2,1.0,0.35,48,0
753,82.1,86.2,1.0,0.338,47,0
754,82.0,86.1,1.3,0.323,48,0
755,82.0,86.0,1.4,0.314,43,0
756,82.0,86.2,1.0,0.443,58,0
757,82.3,86.3,1.0,0.462,46,0
758,82.7,86.5,1.1,0.401,47,0
759,82.8,86.5,1.1,0.304,45,0
760,82.8,86.5,1.0,0.294,46,0
761,82.8,86.5,1.1,0.292,46,0
762,82.5,86.4,1.1,0.284,44,0
763,82.4,86.2,1.0,0.285,46,0
764,82.4,86.2,1.1,0.271,44,0
765,82.4,86.2,1.1,0.255,41,0
766,82.1,86.0,1.1,0.25,42,0
767,82.0,86.0,1.0,0.238,48,0
768,82.0,86.0,1.1,0.247,47,0
769,82.0,85.8,1.1,0.239,47,0
770,82.0,85.8,1.0,0.235,44,0
771,82.0,85.8,1.1,0.235,46,0
772,81.6,85.6,1.1,0.238,44,0
773,81.5,85.5,1.0,0.242,51,0
774,81.5,85.5,1.1,0.236,48,0
775,81.5,85.5,1.1,0.234,45,0
776,81.5,85.4,1.0,0.231,43,0
777,81.5,85.3,1.1,0.233,46,0
778,81.5,85.3,1.1,0.236,49,0
779,81.5,85.3,1.0,0.234,46,0
780,81.5,85.3,1.1,0.242,44,0
781,81.5,85.1,1.0,0.236,47,0
782,81.5,85.1,1.4,0.35,57,0
783,81.5,85.2,1.1,0.404,40,0
784,81.8,85.3,1.0,0.457,42,0
785,82.0,85.4,1.1,0.424,41,0
786,82.3,85.5,1.1,0.491,43,0
787,82.7,85.8,1.0,0.48,73,0
788,82.8,85.9,1.1,0.456,-10,0
789,83.2,86.1,1.0,0.498,43,0
790,83.3,86.3,1.0,0.505,45,0
791,83.6,86.5,1.1,0.521,46,0
792,83.8,86.5,1.5,0.118,68,0
793,83.8,86.7,1.1,0.126,52,0
794,83.8,87.0,1.1,0.216,48,0
795,83.4,87.2,1.6,0.237,48,0
796,83.3,85.5,1.2,0.000463,-10,0
797,-10,-10,1.2,-10,-10,0
798,-10,-10,1.2,-10,-10,0
799,-10,-10,1.2,-10,-10,0
800,-10,-10,1.2,-10,-10,0
801,-10,-10,1.2,-10,-10,0
802,-10,-10,1.2,-10,-10,0
803,-10,-10,1.2,-10,-10,0
804,-10,-10,1.2,-10,-10,0
805,-10,-10,1.2,-10,-10,0
806,-10,-10,1.2,-10,-10,0
807,-10,-10,1.2,-10,-10,0
808,-10,-10,1.2,-10,-10,0
809,-10,-10,1.2,-10,-10,0
810,-10,-10,1.2,-10,-10,0
811,-10,-10,1.2,-10,-10,0
812,-10,-10,1.2,-10,-10,0
813,-10,-10,1.2,-10,-10,0
814,-10,-10,1.2,-10,-10,0
815,-10,-10,1.2,-10,-10,0
816,-10,-10,1.2,-10,-10,0
817,-10,-10,1.2,-10,-10,0
818,-10,-10,1.2,-10,-10,0
819,-10,-10,1.2,-10,-10,0
820,-10,-10,1.2,-10,-10,0
821,-10,-10,1.2,-10,-10,0
822,-10,-10,1.2,-10,-10,0
823,-10,-10,1.2,-10,-10,0
824,-10,-10,1.2,-10,-10,0
825,-10,-10,1.2,-10,-10,0
826,-10,-10,1.2,-10,-10,0
827,-10,-10,1.2,-10,-10,0
828,-10,-10,1.2,-10,-10,0
829,-10,-10,1.2,-10,-10,0
830,-10,-10,1.2,-10,-10,0
831,-10,-10,1.2,-10,-10,0
832,-10,-10,1.2,-10,-10,0
833,-10,-10,1.2,-10,-10,0
834,-10,-10,1.2,-10,-10,0
835,-10,-10,1.2,-10,-10,0
836,-10,-10,1.2,-10,-10,0
837,-10,-10,1.2,-10,-10,0
838,-10,-10,1.2,-10,-10,0
839,-10,-10,1.2,-10,-10,0
840,-10,-10,1.2,-10,-10,0
841,-10,-10,1.2,-10,-10,0
842,-10,-10,1.2,-10,-10,0
843,-10,-10,1.2,-10,-10,0
844,-10,-10,1.2,-10,-10,0
845,-10,-10,1.2,-10,-10,0
846,-10,-10,1.2,-10,-10,0
847,-10,-10,1.2,-10,-10,0
848,-10,-10,1.2,-10,-10,0
849,-10,-10,1.2,-10,-10,0
850,-10,-10,1.2,-10,-10,0
851,-10,-10,1.2,-10,-10,0
852,-10,-10,1.2,-10,-10,0
853,-10,-10,1.2,-10,-10,0
854,-10,-10,1.2,-10,-10,0
855,-10,-10,1.2,-10,-10,0
856,-10,-10,1.2,-10,-10,0
857,-10,-10,1.2,-10,-10,0
858,-10,-10,1.2,-10,-10,0
859,-10,-10,1.2,-10,-10,0
860,-10,-10,1.2,-10,-10,0
861,-10,-10,1.2,-10,-10,0
862,-10,-10,1.2,-10,-10,0
863,-10,-10,1.2,-10,-10,0
864,-10,-10,1.2,-10,-10,0
865,-10,-10,1.2,-10,-10,0
866,-10,-10,1.2,-10,-10,0
867,-10,-10,1.2,-10,-10,0
868,-10,-10,1.2,-10,-10,0
869,-10,-10,1.2,-10,-10,0
870,-10,-10,1.2,-10,-10,0
871,-10,-10,1.2,-10,-10,0
872,-10,-10,1.2,-10,-10,0
873,-10,-10,1.2,-10,-10,0
874,-10,-10,1.2,-10,-10,0
875,-10,-10,1.2,-10,-10,0
876,-10,-10,1.2,-10,-10,0
877,-10,-10,1.2,-10,-10,0
878,-10,-10,1.2,-10,-10,0
879,-10,-10,1.2,-10,-10,0
880,-10,-10,1.2,-10,-10,0
881,-10,-10,1.2,-10,-10,0
882,-10,-10,1.2,-10,-10,0
883,-10,-10,1.2,-10,-10,0
884,-10,-10,1.2,-10,-10,0
885,-10,-10,1.2,-10,-10,0
886,-10,-10,1.2,-10,-10,0
887,-10,-10,1.2,-10,-10,0
888,-10,-10,1.2,-10,-10,0
889,-10,-10,1.2,-10,-10,0
890,-10,-10,1.2,-10,-10,0
891,-10,-10,1.2,-10,-10,0
892,-10,-10,1.2,-10,-10,0
893,-10,-10,1.2,-10,-10,0
894,-10,-10,1.2,-10,-10,0
895,-10,-10,1.2,-10,-10,0
896,-10,-10,1.2,-10,-10,0
897,-10,-10,1.2,-10,-10,0
898,-10,-10,1.2,-10,-10,0
899,-10,-10,1.2,-10,-10,0
900,-10,-10,1.2,-10,-10,0
901,-10,-10,1.2,-10,-10,0
902,-10,-10,1.2,-10,-10,0
903,-10,-10,1.2,-10,-10,0
904,-10,-10,1.2,-10,-10,0
905,-10,-10,1.2,-10,-10,0
906,-10,-10,1.2,-10,-10,0
907,-10,-10,1.2,-10,-10,0
908,72.1,80.0,1.3,0.000488,59,0
909,72.6,82.0,1.6,0.000601,66,0
910,74.2,83.8,2.0,0.000691,-10,0
911,75.8,85.2,3.9,0.000673,137,0
912,77.1,86.2,6.9,0.000673,-10,40
913,78.3,86.7,4.7,0.000643,-10,0
914,79.2,87.0,4.6,0.00068,-10,0
915,80.1,87.3,3.1,0.00064,-10,20
